สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
53,53,%all%,%all%,1
53,53,ร้อยเอ็ด,ร้อยเอ็ด,1
52,52,%all%,%all%,1
52,52,แม่ฮ่องสอน,แม่ฮ่องสอน,0
52,52,แพร่,แพร่,0
52,52,ศรีสะเกษ,ศรีสะเกษ,0
52,52,ปราจีนบุรี,ปราจีนบุรี,1
52,52,บุรีรัมย์,บุรีรัมย์,0
51,51,%all%,%all%,1
51,51,แพร่,แพร่,0
51,51,เชียงใหม่,เชียงใหม่,0
51,51,ศรีสะเกษ,ศรีสะเกษ,0
51,51,ยะลา,ยะลา,0
51,51,นครราชสีมา,นครราชสีมา,1
51,51,ชุมพร,ชุมพร,0
50,50,%all%,%all%,1
50,50,แพร่,แพร่,1
50,50,เชียงใหม่,เชียงใหม่,0
50,50,อุบลราชธานี,อุบลราชธานี,0
50,50,สงขลา,สงขลา,0
50,50,ระยอง,ระยอง,0
50,50,พิจิตร,พิจิตร,0
50,50,ปทุมธานี,ปทุมธานี,0
49,49,%all%,%all%,1
49,49,อุบลราชธานี,อุบลราชธานี,0
49,49,ศรีสะเกษ,ศรีสะเกษ,0
49,49,นครราชสีมา,นครราชสีมา,1
49,49,ตาก,ตาก,0
48,48,%all%,%all%,2
48,48,แม่ฮ่องสอน,แม่ฮ่องสอน,1
48,48,เชียงใหม่,เชียงใหม่,1
48,48,สิงห์บุรี,สิงห์บุรี,0
48,48,ระยอง,ระยอง,0
48,48,ยะลา,ยะลา,0
48,48,ปราจีนบุรี,ปราจีนบุรี,0
48,48,นครราชสีมา,นครราชสีมา,0
47,47,%all%,%all%,1
47,47,แม่ฮ่องสอน,แม่ฮ่องสอน,0
47,47,สุรินทร์,สุรินทร์,0
47,47,สุราษฎร์ธานี,สุราษฎร์ธานี,1
47,47,สตูล,สตูล,0
47,47,ศรีสะเกษ,ศรีสะเกษ,0
47,47,ยะลา,ยะลา,0
47,47,ชุมพร,ชุมพร,0
46,46,%all%,%all%,3
46,46,แม่ฮ่องสอน,แม่ฮ่องสอน,0
46,46,เชียงใหม่,เชียงใหม่,1
